[2018-05-18 10:43:22] [INFO] 33, 插入一条repertory信息到数据仓库, id: 89639, name: 钓鱼总动员
[2018-05-18 10:43:22] [INFO] 34, 插入一条repertory信息到数据仓库, id: 7128, name: 芙蓉王(硬)
[2018-05-18 10:43:22] [INFO] 35, 插入一条repertory信息到数据仓库, id: 38405, name: 钻石(硬红)
[2018-05-18 10:43:22] [INFO] 36, 插入一条repertory信息到数据仓库, id: 39116, name: 食用青果槟榔（绿钻口味王）24g
[2018-05-18 10:43:22] [INFO] 37, 插入一条repertory信息到数据仓库, id: 6657, name: 450 统一鲜橙多
[2018-05-18 10:43:22] [INFO] 38, 插入一条repertory信息到数据仓库, id: 75459, name: 华丰三鲜伊面
[2018-05-18 10:43:23] [INFO] 39, 插入一条repertory信息到数据仓库, id: 78276, name: 大杯合味道 海鲜风味
[2018-05-18 10:43:23] [INFO] 40, 插入一条repertory信息到数据仓库, id: 89640, name: 万丰强力粘钩
[2018-05-18 10:43:23] [INFO] 41, 插入一条repertory信息到数据仓库, id: 79887, name: 可口可乐330ml
[2018-05-18 10:43:23] [INFO] 42, 插入一条repertory信息到数据仓库, id: 37375, name: 乐事墨西哥鸡汁番茄味40g
[2018-05-18 10:43:23] [INFO] 43, 插入一条repertory信息到数据仓库, id: 37378, name: 乐事大波浪薯片香脆烤鸡翅味40g
[2018-05-18 10:43:23] [INFO] 44, 插入一条repertory信息到数据仓库, id: 37434, name: 咪咪蟹粒
[2018-05-18 10:43:23] [INFO] 45, 插入一条repertory信息到数据仓库, id: 16593, name: 香辣菜
[2018-05-18 10:43:23] [INFO] 46, 插入一条repertory信息到数据仓库, id: 54682, name: 缔奇金菇梅菜80g
[2018-05-18 10:43:23] [INFO] 47, 插入一条repertory信息到数据仓库, id: 88906, name: 伊利牧场红枣牛奶味雪糕 70g
[2018-05-18 10:43:23] [INFO] 48, 插入一条repertory信息到数据仓库, id: 89641, name: 伊利冷饮玉米香雪糕 65g
[2018-05-18 10:43:23] [INFO] 49, 插入一条repertory信息到数据仓库, id: 54770, name: 可口可乐1.25L
[2018-05-18 10:43:23] [INFO] 50, 插入一条repertory信息到数据仓库, id: 62742, name: 绿豆饼
[2018-05-18 10:43:23] [INFO] 51, 插入一条repertory信息到数据仓库, id: 73656, name: 青岛老装啤酒
[2018-05-18 10:43:23] [INFO] 52, 插入一条repertory信息到数据仓库, id: 89642, name: 380克*30呈丰甜酒花生
[2018-05-18 10:43:23] [INFO] 53, 插入一条repertory信息到数据仓库, id: 20064, name: 无穷盐局鸡腿80G
[2018-05-18 10:43:23] [INFO] 54, 插入一条repertory信息到数据仓库, id: 73409, name: 优酸乳乳饮料——原味
[2018-05-18 10:43:23] [INFO] 55, 插入一条repertory信息到数据仓库, id: 76067, name: 奶片
[2018-05-18 10:43:23] [INFO] 56, 插入一条repertory信息到数据仓库, id: 87108, name: 螺霸王冲泡式螺蛳粉（其他方便食品）
[2018-05-18 10:43:23] [INFO] 57, 插入一条repertory信息到数据仓库, id: 69150, name: 果粒爽
[2018-05-18 10:43:23] [INFO] 58, 插入一条repertory信息到数据仓库, id: 56212, name: 七匹狼豪情香烟
[2018-05-18 10:43:23] [INFO] 59, 插入一条repertory信息到数据仓库, id: 61949, name: 可口可乐 330ml
[2018-05-18 10:43:23] [INFO] 60, 插入一条repertory信息到数据仓库, id: 49742, name: 伊利畅意乳酸菌饮品 330ml 
[2018-05-18 10:43:23] [INFO] 61, 插入一条repertory信息到数据仓库, id: 49931, name: 纯牛奶
[2018-05-18 10:43:23] [INFO] 62, 插入一条repertory信息到数据仓库, id: 58861, name: 乖媳妇山椒凤爪70g
[2018-05-18 10:43:23] [INFO] 63, 插入一条repertory信息到数据仓库, id: 53492, name: 10度580毫升燕京鲜啤
