store_id,name,count
6946623701969,小康王子蛋糕3元,9
6914068010663,洁柔手帕纸巾,3
6970052480225,蒜香肉骨,2
6953129313657,金针菇,1
6900873097029,康师傅经典藤椒牛肉桶面,12
6909493632443,和路63244雪千层雪棒,7
601028207072,利群蓝,1
6942477600502,欧阳木林七仔花生200克（共）,2
6926896703303,吉香居麻辣萝卜干52克,2
6956215500207,五谷杂粮,2
6937221712969,酒鬼花生2种 盘原味,6
6927018401121,渔米之湘臭豆腐,1
6914557183427,90G珍珍薯片(香辣),6
6924187834774,洽洽香瓜子 60g,6
6947503704292,晨光圆珠笔63201,3
6937685602462,10度580毫升燕京鲜啤,7
6936768011351,158ml嘉利是花生米咸味,7
6901347880390,椰汁,5
6926032326687,固体胶,1
6970399920019,柠檬味绿茶饮料,1
6910772051237,花心王子长筒90G,9
6924083400431,蓝带金质640ml啤酒,1
6917935002792,大杯合味道海鲜味,12
6901028191296,芙蓉王（硬闪带细支）,14
6940553000314,皇巢野山椒凤爪100克,8
6907878033038,芬达橙 330毫升 罐,13
6930953094006,健能原味,9
6924187860698,怪味花生,1
6932801903010,全球通金牌肉松饼,2
6921211101017,曼妥思薄荷脆皮软心珠37克,7
6939241400130,阿牛哥烤土豆条25g,8
6918768000016,真香嘟嘟香 盘,4
6911920279237,水口桥椰子花生200克（多味共）,2
7622100916345,万宝路冰蓝爆珠,11
6922956300529,路路50g野山椒鱼仔（共）,12
6901028936712,好猫（招财进宝）,23
6948576801079,工作证,1
6933125666889,湘潭铺子枸杞槟榔20元,18
6923644250751,玉米棒,2
6909493801023,和路雪好多圈,3
6932332300555,太爷老卤香辣味牛耳70克,1
6920090600253,1元-香辣藕片,4
6946995500627,麦特旺面包2元(共),5
6914557900109,珍珍薯片,1
6931115112385,180克广基隆花生,12
6934920448205,二联收据,1
6954446301082,顺天缘酸豆角<盒>,1
6901308090769,中华牌120红蓝彩色铅笔,1
6934172100425,友我香鸭心,3
6927119000056,东北大板蓝莓,6
6933364808057,旺家婆盐焗鸡爪20G,2
6901180993585,果乐果香凤梨味夹心饼干85克,4
6949821210011,章松松松果25克,1
6954877900120,250洁婷孖装,11
6926625200103,果町雪糕棒棒糖,1
6947144621804,罗巴克醇香拿铁,5
6923655536301,天卓3119中性笔,2
6971062710036,泡鸭翅,5
6926896702856,开味菜106克,2
6923238500514,生榨椰子汁500ml,1
8801116005536,韩国青柠蓝星单爆珠,14
6901715288506,魔法士香烤鸡翅味,10
6901028005180,双喜（软红五叶神）,16
6938121602633,彩虹冰棍,2
6901028092944,84硬合人民大会堂,19
6935777692216,华杰文件盒,1
6914557183625,珍珍薯片原味50g,10
8858702410816,小老板海苔1,4
6935284471076,22克卫龙魔芋爽,4
6907878330120,芬达#,10
6944437016033,小样小乳酸（原味）,1
6947503730239,晨光 按动0.5水性笔1008,6
6920912347069,盼盼家庭号薯片110g,7
6901754050171,80g清淡榨菜,7
6911754104521,100g陈村红烧牛肉味过桥米线,10
6946816806709,柠檬片 盘,3
6957407539531,德雨特辣王野山椒280克,2
6909493801016,好多圈苹果+香草,4
7622100916383,绿万宝路,8
6933289720205,咪咪世界蟹味,3
6920180219006,新奇士黑加仑子汁汽水,9
6926656823302,400克加碘海水自然晶盐,2
6924160714567,20g烤鸡爪（香辣）,7
6925370901761,30克凡小妹香辣藕片,2
6922956302110,路路相思卷82克,9
6924160714109,60g烤鸡小腿（香辣味）,15
6937221704490,贤哥盐局素板筋108克,4
8888075019095,建牌（薄荷细支1）,9
6926032336358,彩色长尾夹(19mm筒装）,1
6932229410053,烤辣脖子,3
6937221716455,贤哥大片面筋140克,4
6907992513201,味可滋 巧克力牛奶,8
6950253800237,23*18竹纤维洗碗布（小号）,4
6939816800402,新博美1703,1
6924810800015,200g卡士活均奶,7
6958833300177,客家小年糕（红豆味)（多味共）,1
6957288300305,龙岩泡鸭翅（酸辣味）,2
6935253604559,盐焗鸡肫小包,3
6958646000028,香辣鱼尾,5
6956060516958,妙滋味亲嘴鱼香辣味,5
6914782111929,话梅糖,10
6901028160278,黄金叶软20支短,4
6918551811966,五羊筒榴莲味73g,13
6921718060626,辣妹子桔片爽,4
6909493200239,梦龙卡布基诺口味冰淇淋64g,3
6922956300871,18g路路香酥鱼仔,10
6901028165969,黄金叶大m,5
6901826827540,南孚碱性电池7号,2
6924187860087,焦糖瓜子18g,2
6959241700344,142ml惠鹏达香辣牛筋,3
6918730045700,防滑回形针（筒装）—2088批发商城,1
6912398336033,出口红米酒500ml,17
6901390120566,加碘雪晶盐（澳洲湖盐）,2
6925999702008,香脆鸭掌香辣味,2
6922956301106,路路豆腐串80克,5
6946623701563,/三明冶,5
6922854313805,袋装土鸡蛋,1
6914782204386,磨堡欧式传统蛋糕(芝麻味),7
6932785000088,丰阳谷玉米王子,4
6951592317189,亲嘴豆皮,3
6907992100289,伊利纯牛奶1L,6
6901028006521,双喜（硬祥云好日子）小盒,18
6928196863008,金硕高级开心果88克,2
6920458834351,麒麟午后奶茶巧克力味,11
6922956300758,路路小丸仔80克,4
6943098500011,小俊男水煮鱼麻辣脆30G,4
6934557623877,碱法柠檬味苏打水饮料360ml,1
6932620223382,555绿色7号电池1765C3,3
6937519000174,冰喉爽,1
6922956300895,路路麻辣串串香80克,6
6903653024062,美加思沙琪瑪162克,2
6934865401822,东芝洋原味南瓜子100克,3
88015750,硬包小卡碧,3
6931557710668,一元笋,1
6902265114345,特级一品鲜酱油,5
6907938050357,牛奶夹心巧克力角,2
6947503746278,1821笔芯,1
6970219830030,阿尔卑斯饮用天然矿泉水500ml,2
6938491611303,竹香鱼90克,1
6926032365969,"办公必备 报告夹,A4,抽杆式,30张",1
6930917200870,拉面丸子（黑椒牛排味）,5
6928196864388,贼牛肉干80克,1
6901028201988,芙蓉王（硬红带细支）,3
6933066021143,乖媳妇山椒凤爪（单爪)32g,4
6971314930021,花生瓜子糖10小包（5毛）,3
6926303910164,锐选果园浓缩芒果汁,1
6933720417350,9313三利毛巾,1
6927119003576,东北大板山楂味,6
6947503798116,条形便签,2
6920458827421,麒麟火咖拿铁咖啡440ml,10
4899888155010,太古精制白沙糖,5
6953029710143,喜力小瓶,3
6911754102954,陈村过桥米线香辣牛肉100g,9
6933213202890,爽口佳Q爽豆干（卤香味）,2
6947263700039,不差钱（湘式挤压糕点）,2
6940553000345,皇巢野山椒凤爪65克@,4
6914782116696,嘟嘟泡泡糖（葡萄味）,5
6934937600047,鱼醋 大虾条盘,4
6901028187909,黄鹤楼雪之景3号香烟,17
6921294354157,冰红茶苹果味,5
6933213204771,爽口佳碳烧兰花串香辣味20克,5
6911920279251,水口桥花生200克,5
6933040203510,亚林葵瓜子（小包）,1
6970399920132,桃香无糖乌龙茶饮料,2
6926656823258,广州粤盐加碘自然食用盐#,7
6923454900105,鱼尾,1
6937221717155,贤哥名嘴一哥素肉卷109克,6
6901826000103,南孚丰蓝1号燃气灶电池,12
6908471005026,智汇养生六个核桃,4
4891028165446,维他苹果汁（盒）,2
6946995500061,麦特旺红豆蓉面包1.5元（多样共）,5
6918551809734,五羊香草小杯,9
6949352212720,金威啤酒,3
6970525550080,水枪 果酱 变色卷,1
6915530823255,250ml嘉乐柠檬茶,15
6927119003644,东北大板原味奶,6
6932850200085,太古红糖,8
6934135701676,水果捞芒果汁饮料,1
6921098882368,305ml石湾米酒,10
6926032363071,"办公必备 透明按扣袋,A4",1
6970856360273,火鸡面,3
6970441500237,120克桃李鸡蛋面包,3
6923238590430,客联盟豆奶,1
6901668005960,奥利奥金装草莓味夹心饼干97g,6
6951957205816,劲仔酸菜鱼仔,4
6927119003859,东北大板 草原鲜奶80g,6
6957270500072,乡里娃辣肉干 肉串 盘,2
6918551812079,五羊芒果飞鱼雪糕,5
6970509678885,咸牛轧,5
6944876400899,香蕉牛奶,5
6925370901419,淳风派手撕素肉（火锅味）25g,1
6900873096176,康师傅经典香辣蒜味排骨桶面,9
6917935002266,合味道XO酱海鲜风味85g,9
6901754131023,乌江萝卜干 60g,7
6942886310207,枣泥蛋糕（原味）,1
6953910802094,钢丝球0209,1
6901028224062,金圣（滕王阁·紫光）,15
4713338000555,450 小麦草芦荟汁,3
6914782115668,哈密瓜味口嚼糖,6
6959927900013,原味蛋糕卷160克,6
6958833300184,客家小年糕（香芋味（)共）,2
6921823506057,五彩绳 盘,1
6930953093900,健能原味酸牛奶,5
6931754805839,22g魔芋素毛肚山椒味,2
6907592001245,500ml王致和料酒王,11
6922956302066,新路路红油兰花干80克,5
6931583410365,风彩,1
6920180270038,屈臣氏矿物质水,6
6956778606071,作文本,1
6930058200340,农亨岩烧海苔（原味）16g（8小包袋）,3
