store_id,name,count,,,,一千条销售 不含自编码,,
6948960100108 ,百威啤酒330ml,53,,,,80974482 ,,6902088800807 
6928804011760 ,600ml可口可乐,17,,,,6901028045902 ,,6905824118204 
6944649700126 ,1.5L饮用纯净水,54,,,,4903333059850 ,,6291104670129 
6902538004045 ,脉动维生素饮料（青柠口味）600ml,62,,,,4800092551369 ,,6922507821701 
6956367338666 ,王老吉凉茶植物饮料500毫升,67,,,,4903333059850 ,,6947632288922 
6907992100012 ,优酸乳乳饮料——草莓味,59,,,,6944649700058 ,,6901028165914 
6901028207072 ,利群（蓝天小包）,70,,,,4800092551284 ,,6959606510045 
6907878050110 ,可口可乐 500ml瓶,57,,,,4903333059850 ,,6921709800330 
6921168520015 ,农夫山泉天然水1.5L,52,,,,6911161367540 ,,6941873401331 
6901028005203 ,双喜（硬红五叶神）,71,,,,4800092660962 ,,6945109903248 
6922255447833 ,饮用天然矿泉水,49,,,,6901236341582 ,,6927573125982 
6901028191029 ,白沙（硬）,69,,,,4800092551284 ,,6943304401316 
6921294305166 ,康师傅 绿茶 调味茶饮品（蜂蜜茉莉味）,56,,,,4800092551369 ,,6957636600088 
6901028001182 ,双喜（硬）,72,,,,4800092551284 ,,6901028053075 
6901754141008 ,乌江涪陵榨菜-鲜脆菜丝,54,,,,4903333059850 ,,901028186612 
6957735788861 ,椰汁,48,,,,726165641123 ,,6925696402249 
6928758789609 ,益力多,32,,,,4895047089325 ,,6931008484384 
6901028180801 ,黄鹤楼(天下名楼),59,,,,4903333059850 ,,6920732123027 
6921014085231 ,白瓶海珠啤酒600ml,20,,,,4903333059850 ,,6917066000247 
6921294393798 ,康师傅茉莉蜜茶（调味茶饮品）,55,,,,6901285991240 ,,6938533733109 
6901028315425 ,红塔山,71,,,,6901285991240 ,,902312303210 
6922858211077 ,百事可乐可乐型汽水,13,,,,4800092551369 ,,6958447401550 
6952813400987 ,食用青果槟榔（绿钻口味王）,63,,,,6911161367540 ,,6941873401454 
6958214616880 ,叼嘴巴,62,,,,4895047089325 ,,5901781991530 
6901028046886 ,云烟,66,,,,6911161367540 ,,6909493200505 
6901035601764 ,青岛啤酒500ml,39,,,,4895047089325 ,,6920052605753 
6956416200067 ,美汁源果粒橙橙汁饮料450ml,60,,,,4903333059850 ,,6935554670048 
6923567880103 ,咪咪虾味条20克,32,,,,6901285991240 ,,6937221717575 
6948960100221 ,哈尔滨啤酒600ml,10,,,,6911161367540 ,,6943586816020 
6907992512570 ,安慕希希腊风味酸奶205克,62,,,,4800092551369 ,,6970297780197 
6970855690302 ,加碘低钠盐,39,,,,4895047089325 ,,901180915785 
6901028075862 ,牡丹,50,,,,4800092551369 ,,6933036301794 
6901028300056 ,南京(红),66,,,,4895047089325 ,,6932658404111 
6901028180559 ,黄鹤楼(硬金砂),60,,,,4800092660962 ,,6933890329644 
6900873000777 ,康师傅经典红烧牛肉桶面,48,,,,4895047089325 ,,6922646112821 
6901028191098 ,白沙(精品二代),60,,,,4800092551369 ,,6935364042073 
6924160714017 ,无穷农场盐焗鸡蛋30g,40,,,,4890008400232 ,,6970847590092 
6902890234135 ,双汇香辣香脆肠35g,38,,,,4903333059850 ,,6901028317153 
69019388 ,绿箭,62,,,,4800092551284 ,,6954699800400 
6920584471017 ,旺仔牛奶（调制乳）,58,,,,4895047089325 ,,6901028092135 
6911988014276 ,600ml和其正,50,,,,4903333059850 ,,6900464910188 
6901826817237 ,南孚碱性电池,36,,,,4800092660962 ,,6900464901230 
6907878033014 ,可口可乐 330ml,53,,,,4890008400232 ,,6954699800400 
6948960100030 ,百威啤酒,11,,,,6901285991240 ,,6915798003376 
6902890230014 ,鸡肉火腿肠,26,,,,4892294372057 ,,6921738075020 
6901028942966 ,双喜(硬金樽好日子)小盒,10,,,,4892294372057 ,,6900464901230 
6931780720885 ,天地壹号苹果醋饮品,59,,,,4892294372057 ,,6900464910188 
6901028004183 ,双喜硬经典1906,60,,,,69020292 ,,6932004400255 
6921294389463 ,冰糖雪梨 梨汁饮品,51,,,,4800092551369 ,,6933890329644 
6928804010275 ,600ml雪碧柠檬味汽水,14,,,,4800092660962 ,,6932658404111 
6939650400097 ,翻天薯条,17,,,,4892294372057 ,,6935364042073 
6909131169201 ,劲牌35度中国保健劲酒125ml,54,,,,4895047089325 ,,6939261421436 
6900873714070 ,康师傅老坛酸菜牛肉面,35,,,,4903333059850 ,,6939261421443 
6932451300047 ,金联豆28g,10,,,,6911161367540 ,,6940230300379 
6901028191043 ,白沙(精品),18,,,,4800092551284 ,,6922507051542 
6902890235132 ,双汇泡面拍档香肠45克,30,,,,4800092660962 ,,6945722500558 
6931273213535 ,口味王槟榔（金玉满堂）,53,,,,4890008400232 ,,240549445883 
6951957205786 ,劲仔小鱼（香辣味）12g,21,,,,4903333059850 ,,9908630004768 
6924187851160 ,洽洽焦糖瓜子,42,,,,4800092660962 ,,850298105008 
6928804011142 ,可口可乐330ml,16,,,,4890008400232 ,,6931906341109 
,,,,,,4892294372057 ,,850298105008 
,,,,,,4895047089325 ,,6936246890249 
,,,,,,6911161367540 ,,9908630004768 
,,,,,,726165641123 ,,9903031003969 
,,,,,,4800092660962 ,,6970135840045 
,,,,,,4890008400232 ,,6958684500023 
,,,,,,4892294372057 ,,6925728600407 
,,,,,,4895047089325 ,,9900101054005 
,,,,,,4903333059850 ,,624168103349 
,,,,,,81885680059260300000 ,,6930565799016 
,,,,,,6901028077699 ,,6917109514564 
,,,,,,6901028077699 ,,6919166703189 
,,,,,,6901028001618 ,,4897069770403 
,,,,,,6901028001618 ,,6923287612015 
,,,,,,6921168509256 ,,6901028125314 
,,,,,,6928804011128 ,,6943007400142 
,,,,,,6901028005029 ,,6928204300211 
,,,,,,6921168509256 ,,6935284413830 
,,,,,,6914068008646 ,,6943466900665 
,,,,,,6901285991240 ,,6943466900801 
,,,,,,6944649700058 ,,6943466900849 
,,,,,,6944649700058 ,,6943466900856 
,,,,,,6914068008646 ,,19515926 
,,,,,,6947509910000 ,,6901236341384 
,,,,,,6901285991240 ,,6932265018244 
,,,,,,6920523300552 ,,6970430621349 
,,,,,,6944649700058 ,,6932265017865 
,,,,,,6947509910000 ,,6970534810212 
,,,,,,6947509910000 ,,6924659417948 
,,,,,,6901285991240 ,,6970530840329 
,,,,,,6944649700058 ,,6970926430134 
,,,,,,6944649700058 ,,6983592900429 
,,,,,,6947509910000 ,,6970544270570 
,,,,,,6947509910000 ,,6924898800556 
,,,,,,6901028003773 ,,6924898800570 
,,,,,,6901028003773 ,,6924898800587 
,,,,,,6947509910000 ,,6925955811591 
,,,,,,6955691000256 ,,6971084512090 
,,,,,,6947509910000 ,,6943466900801 
,,,,,,8801116003907 ,,6919166703226 
,,,,,,6901285991219 ,,6937350210077 
,,,,,,6947509910000 ,,6926634130767 
,,,,,,6901028075862 ,,19327266 
,,,,,,6944649700126 ,,6902312304392 
,,,,,,6901028075862 ,,6952431822963 
,,,,,,6926988600220 ,,6926634128795 
,,,,,,6901285991219 ,,6956060518808 
,,,,,,6923450680209 ,,6970297020064 
,,,,,,6901285991219 ,,6953359688181 
,,,,,,6923450605318 ,,6970831491923 
,,,,,,6947509910000 ,,6970625580055 
,,,,,,6936378300128 ,,6943466900856 
,,,,,,6947509910000 ,,6950023200267 
,,,,,,6947509910000 ,,6950383300072 
,,,,,,6947509910000 ,,6901028063876 
,,,,,,6947509910000 ,,6922604280029 
,,,,,,6901424286213 ,,6932265018244 
,,,,,,6944649700058 ,,4897069770403 
,,,,,,6922255451427 ,,6924187860124 
,,,,,,6920523300552 ,,6924187860131 
,,,,,,6920180210034 ,,6926120806206 
,,,,,,6920180210034 ,,6926120806213 
,,,,,,6920523300552 ,,6956441990032 
,,,,,,6920523300552 ,,6970869040209 
,,,,,,69021824 ,,6937882748468 
,,,,,,4891028169819 ,,6970534810212 
,,,,,,4891028170150 ,,6922507821565 
,,,,,,6921734971012 ,,6922507821572 
,,,,,,6901236341582 ,,6922507821589 
,,,,,,6921734971012 ,,6942935820152 
,,,,,,6921734971012 ,,6928479743249 
,,,,,,6921734971012 ,,6930951101157 
,,,,,,6921734971012 ,,6953359688211 
,,,,,,6921734976529 ,,947882211428 
