barcode,price,count
6901035609715 ,"[3.50, 4.00, 4.50]","[30, 16, 7]"
6921168532025 ,"[4.00, 4.50, 5.00]","[19, 7, 4]"
6920202866737 ,"[7.00, 7.50, 8.00]","[32, 17, 13]"
6920584471017 ,"[5.00, 4.50, 5]","[85, 5, 3]"
6901028180573 ,"[18.00, 19.00, 18]","[57, 47, 3]"
6937221704339 ,"[3.50, 3.00, 4.00]","[14, 13, 3]"
6956367338680 ,"[3.50, 4.00, 3.00]","[74, 18, 3]"
6920180239196 ,"[2.50, 3.00, 2.5]","[52, 5, 3]"
6920180218771 ,"[3.50, 4.00]","[11, 2]"
6919838200695 ,"[1.00, 1.50, 15.00]","[15, 3, 1]"
6924160714567 ,"[2.50, 3.00]","[19, 2]"
6901028180559 ,"[16.00, 16, 15.00]","[83, 5, 4]"
6902022134333 ,"[20.00, 22.00, 19.00]","[13, 10, 4]"
4891338000932 ,"[9.00, 10.00, 12.00]","[8, 5, 5]"
6914782204386 ,"[6.00, 5.50, 7.00]","[12, 8, 3]"
6922255447833 ,"[2.00, 1.50, 3.00]","[69, 7, 3]"
6902988525060 ,"[88.00, 72.00, 80.00]","[5, 4, 2]"
6907992103211 ,"[7.50, 8.00, 8.50]","[8, 7, 6]"
6925303754112 ,"[4.00, 4.50, 5.00]","[67, 5, 4]"
6934665087653 ,"[6.50, 6.00, 7.00]","[36, 31, 10]"
69025143 ,"[10.00, 11.00, 12.00]","[32, 9, 6]"
6920180209601 ,"[4.50, 5.00, 4.00]","[26, 14, 6]"
4891338000918 ,"[15.00, 16.00, 14.50]","[14, 11, 6]"
6921294358674 ,"[4.00, 4.50, 4]","[62, 3, 2]"
6923644282271 ,[3.50],[4]
6901028046886 ,"[10.00, 11.00, 10]","[94, 8, 4]"
6923644279059 ,"[3.00, 2.50, 3.50]","[11, 8, 2]"
6956416205093 ,"[4.00, 4, 3.50]","[28, 3, 2]"
6921294305104 ,"[3.00, 3.50, 3]","[38, 14, 1]"
6924160714543 ,"[2.50, 3.00]","[22, 2]"
6924187821644 ,"[8.50, 8.00, 9.00]","[19, 11, 9]"
6957735788861 ,"[4.50, 4.00, 5.00]","[43, 20, 17]"
6901028001830 ,"[14.00, 13.00]","[23, 4]"
6925303721398 ,"[3.00, 3.50, 3.5]","[51, 1, 1]"
6901285991271 ,"[3.00, 3.50, 3]","[77, 19, 7]"
6933125666681 ,"[10.00, 10]","[69, 1]"
6956416200067 ,"[3.50, 3.00, 4.00]","[74, 10, 9]"
6948960100993 ,"[5.00, 6.00, 7.00]","[33, 5, 4]"
4891028703280 ,"[3.00, 2.50, 4.00]","[40, 3, 1]"
6922858211077 ,"[2.50, 3.00, 2.5]","[25, 2, 1]"
6935145303034 ,"[7.00, 6.50, 7]","[13, 2, 1]"
6902312188824 ,"[4.00, 4.50, 3.50]","[16, 6, 4]"
6924686500118 ,"[5.00, 4.50, 5.50]","[6, 2, 1]"
6903388142000 ,"[12.00, 12.50, 11.00]","[5, 4, 3]"
6901028000826 ,"[10.00, 10, 11.00]","[100, 8, 7]"
6901028185905 ,"[22.00, 21.00, 22]","[69, 15, 3]"
6934502300709 ,"[3.50, 3.00, 4.00]","[86, 21, 5]"
6928804010381 ,"[7.00, 6.50, 6.00]","[13, 6, 4]"
6931780720199 ,"[16.00, 17.00, 18.00]","[26, 18, 14]"
6948960100108 ,"[5.00, 5.50, 6.00]","[72, 12, 9]"
6949352201144 ,"[5.00, 6.00, 5]","[26, 7, 1]"
6921294393798 ,"[3.00, 3, 3.50]","[90, 2, 2]"
6924743919259 ,"[6.50, 7.00, 6.00]","[15, 12, 11]"
6935284412918 ,"[4.00, 4.50, 3.50]","[21, 14, 10]"
6951592317011 ,"[4.00, 4.50, 5.00]","[19, 14, 4]"
6901028111263 ,"[17.00, 16.00, 18.00]","[42, 30, 19]"
6901028071765 ,"[7.00, 8.00, 7.50]","[69, 15, 9]"
6949352210672 ,"[5.00, 4.50]","[8, 1]"
6924083400738 ,"[6.00, 5.00, 5.50]","[15, 5, 3]"
6924686502792 ,[5.00],[4]
6921294305166 ,"[3.00, 3.50, 4.00]","[87, 7, 3]"
6944649700065 ,"[2.00, 2.50, 2]","[83, 6, 2]"
6901028024969 ,"[10.00, 9.00]","[10, 1]"
6948960100078 ,"[7.00, 7.50, 8.00]","[50, 15, 14]"
6901672500017 ,"[15.00, 13.00, 17.00]","[8, 6, 4]"
6921294355383 ,"[4.00, 4.50, 4.5]","[24, 18, 2]"
6925347810041 ,"[3.00, 3.50]","[2, 1]"
6958682700647 ,[3.00],[1]
6902312188817 ,"[4.00, 4.50, 5.00]","[25, 6, 3]"
6911988018526 ,"[5.00, 4.50, 4.00]","[20, 13, 7]"
6909548048885 ,"[1.00, 1.50, 2.00]","[6, 4, 2]"
6933290320029 ,"[6.00, 5.00, 8.00]","[9, 7, 2]"
6923830301892 ,"[5.00, 6.00, 6.50]","[11, 6, 3]"
6930953011409 ,"[3.50, 2.50]","[2, 1]"
6902083886455 ,"[4.00, 4.50, 4.5]","[72, 13, 3]"
6921482336088 ,"[5.00, 4.00, 4.50]","[11, 5, 4]"
6933368300335 ,[6.00],[1]
6922858233109 ,[3.00],[24]
6901028207843 ,"[26.00, 27.00]","[3, 3]"
6921168500956 ,"[5.00, 4.50, 5]","[39, 9, 3]"
6928804014709 ,[3.00],[2]
6907992100272 ,"[3.00, 3.50, 4.00]","[83, 13, 3]"
6927573123513 ,[5.00],[10]
6902538004045 ,"[4.00, 4.50, 4]","[86, 10, 3]"
6936003512414 ,"[1.00, 1.50, 2.00]","[49, 4, 2]"
6901028191043 ,"[9.00, 10.00, 9.50]","[20, 14, 6]"
6907992511139 ,"[3.00, 2.50, 3.50]","[51, 8, 4]"
6938514100449 ,"[16.00, 18.00, 15.00]","[32, 28, 6]"
6901028075015 ,"[420.00, 450.00, 430.00]","[8, 6, 6]"
6928804011142 ,"[2.50, 2.5, 3.00]","[22, 3, 1]"
6956416200395 ,"[3.00, 2.50, 4.00]","[33, 5, 2]"
6911988007810 ,"[8.00, 7.50, 7.00]","[7, 5, 4]"
6925303755461 ,"[5.00, 6.00, 5]","[55, 5, 2]"
6917878030623 ,"[5.00, 6.00, 5.50]","[41, 30, 27]"
6924686500026 ,"[2.50, 3.00]","[13, 4]"
6925303730574 ,"[4.00, 4.50, 4]","[101, 5, 3]"
6949302586055 ,[3.50],[3]
6901028182652 ,"[28.00, 30.00, 28]","[38, 31, 4]"
6925284416917 ,[1.00],[10]
4895058314508 ,"[15.00, 13.00, 12.50]","[7, 5, 4]"
6902227018476 ,"[9.00, 10.00, 9.50]","[5, 5, 4]"
6902934987171 ,"[2.50, 3.00, 4.00]","[14, 9, 1]"
6924743915848 ,"[10.00, 9.00, 8.50]","[16, 14, 8]"
6900873060061 ,"[2.50, 3.00, 2.30]","[39, 25, 1]"
6920766211110 ,"[4.50, 5.00, 4.00]","[28, 23, 3]"
6931008484285 ,"[4.50, 7.00, 6.00]","[4, 1, 1]"
6937221703387 ,"[2.50, 3.00, 2.00]","[9, 4, 2]"
6923644266066 ,"[6.00, 5.50, 5.00]","[46, 10, 4]"
6947506585867 ,"[6.00, 6.50, 6]","[6, 1, 1]"
6943052100110 ,"[2.50, 2.00, 3.00]","[14, 8, 3]"
6923644283575 ,"[4.00, 3.50]","[25, 16]"
6926892568081 ,"[4.00, 3.50, 4.50]","[25, 5, 3]"
6907992512570 ,"[6.00, 5.50, 5.00]","[47, 31, 11]"
6927439651167 ,"[11.00, 10.00]","[3, 2]"
6920560420268 ,"[10.00, 8.50, 8.00]","[8, 5, 5]"
6931008491658 ,[7.00],[1]
6920548867313 ,"[1.00, 15.00, 1]","[42, 1, 1]"
6921168532001 ,"[4.00, 4.50, 5.00]","[24, 9, 7]"
6956367338666 ,"[4.00, 4.50, 5.00]","[64, 19, 9]"
6921168558018 ,"[4.00, 5.00, 4.50]","[16, 9, 6]"
6903244370974 ,"[10.50, 10.00, 12.00]","[11, 10, 10]"
6902890236207 ,"[2.50, 3.00, 2.00]","[13, 11, 1]"
6901028207072 ,"[16.00, 17.00, 16]","[80, 21, 4]"
4891599366808 ,"[4.00, 4.50, 5.00]","[39, 23, 7]"
6921294308501 ,"[3.00, 3.50, 3.5]","[17, 12, 2]"
721031940102 ,"[5.00, 6.50, 6.00]","[60, 3, 2]"
6949352210696 ,"[3.50, 4.00]","[7, 1]"
6932496800021 ,"[6.00, 5.00, 6.50]","[27, 8, 5]"
6921294392401 ,"[3.00, 3.50, 4.00]","[46, 3, 1]"
6924743919211 ,"[6.50, 6.00, 7.00]","[19, 13, 10]"
4891599338393 ,"[3.50, 4.00, 3.00]","[53, 15, 2]"
6921168520015 ,"[3.00, 3.50, 3]","[70, 8, 2]"
6933311066998 ,"[4.00, 3.50, 5.00]","[28, 18, 3]"
6938514100456 ,"[40.00, 45.00, 42.00]","[25, 24, 4]"
6906785503016 ,"[38.00, 42.00, 35.00]","[6, 3, 3]"
4547691239082 ,"[13.00, 20.00, 25.00]","[3, 3, 2]"
4547691239129 ,"[25.00, 10.00, 13.00]","[3, 3, 2]"
4547691239143 ,"[14.50, 14.00, 8.50]","[3, 2, 2]"
6970042900085 ,"[5.00, 7.50, 7.00]","[5, 3, 2]"
6901028071468 ,"[10.00, 9.00, 11.00]","[14, 1, 1]"
6934660511627 ,"[10.00, 12, 12.00]","[1, 1, 1]"
6934660556116 ,"[12.00, 11.00, 12.50]","[8, 6, 3]"
6920912353626 ,"[6.50, 6.00]","[1, 1]"
6901028160278 ,"[15.00, 14.00, 15]","[4, 1, 1]"
6901028053136 ,"[20.00, 21.00, 22.00]","[48, 7, 2]"
6923450661994 ,"[1.00, 3.00]","[2, 1]"
6954712620169 ,"[2.00, 2.50]","[1, 1]"
6921168593569 ,"[5.00, 5.50, 6.00]","[42, 4, 3]"
6901028165235 ,"[16.00, 16, 17.00]","[50, 4, 2]"
6901584030008 ,"[20.00, 22.00, 21.00]","[21, 17, 7]"
4891028164395 ,"[3.00, 2.50, 3.50]","[75, 13, 5]"
6901424333948 ,"[2.00, 2.50, 2]","[40, 33, 4]"
6928758789661 ,"[12.00, 13.00, 12.50]","[19, 8, 3]"
6924187851184 ,"[6.00, 6.50, 7.00]","[24, 22, 8]"
8993175537445 ,"[3.00, 2.50, 3]","[25, 18, 4]"
6948960100030 ,"[6.00, 7.00, 6.5]","[8, 6, 1]"
6901845041248 ,"[6.50, 7.00, 6.80]","[15, 4, 3]"
8858702410816 ,"[2.00, 1.50]","[8, 5]"
6901028192729 ,"[16.00, 15.00, 16]","[4, 3, 2]"
6924746201467 ,"[3.00, 3.50, 2.80]","[6, 6, 2]"
6925303710446 ,"[2.50, 3.00, 2.5]","[25, 5, 1]"
4891028165279 ,"[3.00, 2.50, 3]","[51, 10, 2]"
6920732111109 ,[1.00],[2]
6924160713522 ,"[2.50, 3.00, 2.00]","[32, 5, 3]"
6909493400103 ,"[4.00, 5.00, 4.50]","[22, 2, 1]"
6923976113137 ,"[5.00, 4.50, 6.00]","[15, 2, 2]"
6938888888844 ,"[4.00, 3.50, 4.50]","[11, 11, 7]"
6901668005762 ,"[4.00, 3.50, 3.80]","[19, 16, 1]"
6920907800944 ,"[12.00, 10.00, 11.00]","[19, 12, 11]"
6923644240318 ,"[3.50, 4.00, 3.00]","[13, 7, 5]"
6933066001411 ,"[8.00, 8.50, 7.50]","[13, 7, 5]"
6921168593545 ,"[10.00, 9.50, 9.00]","[30, 8, 4]"
6924187820067 ,"[5.50, 5.00, 6.00]","[29, 21, 16]"
6920907800913 ,"[4.00, 3.50, 4]","[31, 10, 7]"
6921294357639 ,"[3.00, 3.50, 4.00]","[30, 17, 6]"
6922266444449 ,"[12.00, 14.00, 16.50]","[7, 4, 4]"
6900463000507 ,"[7.00, 6.50, 7.50]","[18, 13, 4]"
6924810800015 ,"[7.50, 6.50, 8.00]","[13, 3, 3]"
6901028942966 ,"[28.00, 27.00, 25.00]","[8, 7, 4]"
6924746200545 ,"[3.00, 2.50, 2.20]","[11, 7, 1]"
6920766212094 ,"[5.00, 4.50, 5.50]","[37, 10, 9]"
6933641100041 ,"[3.50, 4.00, 5.00]","[5, 5, 5]"
6923644242923 ,"[2.00, 1.50, 1.70]","[21, 5, 2]"
6921804700757 ,"[8.50, 9.00, 8.00]","[25, 19, 9]"
6901668005946 ,"[7.00, 7.50, 6.50]","[7, 5, 3]"
4891214699106 ,"[11.00, 11.50, 10.50]","[5, 3, 2]"
6902083881085 ,"[2.00, 8.00, 7.50]","[14, 13, 6]"
6911988014276 ,"[4.00, 3.50, 4]","[80, 5, 2]"
6924874766098 ,[11.00],[1]
6954432710249 ,"[6.00, 6.50, 7.00]","[8, 3, 3]"
6906151600462 ,"[15.00, 16.00, 18.00]","[42, 23, 5]"
6922858211046 ,"[7.00, 6.50, 9.50]","[14, 8, 1]"
6923450605295 ,"[5.00, 4.50, 4.00]","[20, 8, 2]"
6923450657607 ,"[6.00, 5.50, 5.00]","[21, 18, 15]"
6923644268503 ,"[4.00, 3.50, 4.50]","[40, 21, 4]"
6924168102359 ,"[15.00, 12.00, 13.50]","[4, 1, 1]"
6921168504022 ,"[4.00, 4.50, 5.00]","[65, 13, 2]"
6921294399639 ,"[3.00, 3.50, 4.00]","[30, 4, 1]"
6900463004406 ,"[40.00, 40]","[2, 1]"
6901028111539 ,"[55.00, 50.00, 55]","[15, 3, 1]"
6901028201728 ,[280.00],[1]
6931008483905 ,[7.00],[1]
4902210265803 ,"[30.00, 28.00, 30]","[26, 10, 2]"
6956416200425 ,"[4.00, 3.50, 4]","[23, 20, 1]"
6907992103136 ,"[6.00, 6.50, 5.50]","[18, 3, 2]"
6914782111929 ,"[2.00, 2.50, 3.00]","[22, 5, 2]"
4710199037010 ,"[7.00, 9.50, 7.50]","[3, 3, 2]"
4710199087701 ,"[8.00, 8.50, 7.50]","[11, 2, 2]"
6901180973686 ,"[4.50, 4.00, 2.80]","[8, 4, 1]"
6920912340602 ,"[3.50, 4.00, 5.00]","[20, 16, 3]"
6923976110167 ,"[5.00, 5.50, 4.50]","[12, 3, 2]"
6902890234135 ,"[1.50, 1.00, 1.5]","[43, 16, 2]"
6920174736922 ,"[5.00, 4.00, 4.50]","[18, 14, 13]"
6924743919228 ,"[6.50, 7.00, 7.50]","[13, 5, 4]"
6925526601460 ,"[12.00, 11.00, 12]","[45, 28, 3]"
4710199080566 ,"[8.00, 7.50, 8.50]","[13, 2, 2]"
6907992102764 ,"[7.50, 8.00, 8.50]","[9, 7, 6]"
6925303714208 ,"[4.50, 4.00, 5.00]","[27, 23, 7]"
6901028196406 ,"[16.00, 15.00, 16]","[57, 6, 2]"
6901028000642 ,"[12.00, 11.00, 12]","[104, 6, 4]"
6924187851160 ,"[6.50, 6.00, 7.00]","[26, 24, 11]"
6932850200085 ,"[9.00, 8.50, 8.00]","[7, 6, 5]"
6925526600456 ,"[10.00, 11.00, 9.00]","[57, 14, 3]"
6902312303210 ,"[14.00, 15.00, 12.80]","[3, 3, 1]"
6941704409246 ,"[8.00, 7.50, 8.50]","[11, 4, 3]"
6911988005809 ,"[4.00, 3.50]","[4, 4]"
6946623701563 ,"[2.00, 3.00]","[3, 2]"
6923644241353 ,"[3.50, 3.00, 3]","[27, 4, 1]"
6924686500002 ,"[3.50, 2.50, 3.00]","[3, 2, 2]"
6925303793579 ,"[4.00, 4.50, 5]","[18, 15, 2]"
6902890233893 ,"[2.50, 2.00, 3.00]","[18, 1, 1]"
6917878027333 ,"[4.00, 3.50, 4.50]","[61, 5, 2]"
6901214168811 ,"[4.00, 6.00, 4.50]","[4, 1, 1]"
6914973603394 ,"[5.00, 4.50, 5.50]","[36, 14, 4]"
6903388242007 ,"[12.50, 12.00, 13.00]","[3, 2, 2]"
6911988000682 ,"[8.00, 7.50, 8.50]","[17, 14, 8]"
6901285991530 ,"[9.00, 10.00, 9.50]","[26, 19, 8]"
6926892524063 ,"[4.00, 4.50, 4]","[74, 3, 1]"
6901028071772 ,"[68.00, 65.00, 70.00]","[8, 4, 3]"
6909131169201 ,"[12.00, 11.00, 10.00]","[49, 26, 11]"
6901028942911 ,"[155.00, 150.00, 145.00]","[8, 8, 3]"
6901028942812 ,"[6.50, 7.00, 6.00]","[6, 3, 3]"
6925303770563 ,"[5.00, 5.50, 6.00]","[34, 13, 6]"
6925303773106 ,"[4.00, 4.50, 5.00]","[34, 31, 11]"
6919892113702 ,"[8.00, 7.50, 8]","[2, 2, 1]"
7622100855194 ,"[28.00, 30.00, 38.00]","[8, 7, 2]"
6901028114448 ,"[48.00, 45.00, 50.00]","[27, 8, 2]"
6907992103051 ,"[8.50, 9.00, 8.00]","[11, 8, 4]"
6902265610014 ,"[5.00, 6.00, 4.50]","[12, 7, 7]"
6934660525259 ,"[12.00, 13.50, 11.00]","[14, 5, 2]"
6947144622566 ,"[11.00, 12.00, 13.00]","[3, 2, 1]"
6956416200029 ,"[7.00, 8.00, 7.50]","[63, 10, 7]"
6901028003582 ,"[22.00, 21.00, 20.00]","[45, 3, 3]"
6925857101486 ,"[4.00, 4.50]","[4, 1]"
6926958301874 ,[10.00],[1]
4891132011103 ,"[4.50, 5.00, 4.00]","[17, 17, 10]"
6901028062008 ,"[22.00, 21.00, 20.00]","[65, 7, 5]"
6901010117440 ,"[3.50, 4.00, 3.00]","[38, 14, 10]"
6903148032053 ,"[11.50, 11.00, 12.00]","[8, 4, 3]"
6903244370998 ,"[10.00, 11.00, 9.50]","[11, 10, 9]"
6928804010114 ,"[3.50, 3.00, 4.00]","[6, 3, 1]"
6925019906379 ,"[4.00, 6.00, 5.00]","[7, 4, 4]"
6901294179608 ,"[18.50, 20.00, 19.00]","[9, 4, 3]"
6926475204474 ,"[3.50, 2.50, 3.00]","[10, 4, 4]"
6920548862042 ,"[1.00, 15.00, 1]","[36, 1, 1]"
6923644278588 ,"[6.00, 5.50, 7.00]","[26, 10, 2]"
6947144622580 ,"[5.00, 6.00, 6.50]","[6, 2, 1]"
6911920278834 ,"[4.50, 5.00, 0.00]","[8, 2, 1]"
6970644591117 ,"[4.00, 4.50, 6.00]","[52, 5, 1]"
6921294359091 ,"[2.50, 2.5, 2.70]","[12, 1, 1]"
6903244370424 ,"[9.00, 10.00, 11.00]","[10, 8, 4]"
6903244370950 ,"[10.00, 9.00, 11.00]","[17, 12, 9]"
4895062700281 ,"[22.00, 25.00, 24.50]","[13, 7, 4]"
6922266434877 ,"[19.00, 16.90, 18.50]","[8, 4, 2]"
6901180339581 ,"[3.50, 4.00, 5.00]","[17, 17, 5]"
6925303714086 ,"[4.00, 4.50, 5.00]","[26, 23, 6]"
4891028705635 ,"[6.00, 5.00, 7.00]","[29, 11, 6]"
6921294351941 ,"[3.00, 3.50, 2.50]","[21, 3, 1]"
6928804011326 ,"[3.00, 3.50]","[17, 2]"
6911988006547 ,"[4.00, 3.50, 4.50]","[24, 7, 4]"
